feature,group,scope,n,wins,losses,net,expectancy,pf,win_rate,average_winner,average_loser,max_losing_streak,realized_balance_dd_pct,net_ex_top5
direction,BUY,ALL,182,91,91,19.81,0.10884615384615401,1.0275786220434076,0.5,8.11120879120879,-7.893516483516482,10,2.7136741475487143,-75.94
direction,BUY,BUY,182,91,91,19.81,0.10884615384615401,1.0275786220434076,0.5,8.11120879120879,-7.893516483516482,10,2.7136741475487143,-75.94
direction,BUY,SELL,0,0,0,0.0,,,,,,0,0.0,0.0
direction,BUY,2026-06,40,13,27,-58.3,-1.4574999999999998,0.7163155077611796,0.325,11.323846153846151,-7.611481481481481,10,1.5020000000000073,-150.3
direction,BUY,2026-07,68,33,35,-35.19,-0.5174999999999997,0.8821658183766408,0.4852941176470588,7.983333333333333,-8.532571428571426,6,1.7058916128158548,-85.9
direction,BUY,2026-08,74,45,29,113.3,1.5310810810810815,1.5290437056406427,0.6081081081081081,7.27688888888889,-7.384827586206897,4,0.6771351317752294,64.87
direction,SELL,ALL,182,94,88,60.44,0.33208791208791233,1.0948331319724476,0.5164835164835165,7.423085106382981,-7.242386363636364,5,2.1743620520335223,10.65
direction,SELL,BUY,0,0,0,0.0,,,,,,0,0.0,0.0
direction,SELL,SELL,182,94,88,60.44,0.33208791208791233,1.0948331319724476,0.5164835164835165,7.423085106382981,-7.242386363636364,5,2.1743620520335223,10.65
direction,SELL,2026-06,76,44,32,107.62,1.4160526315789477,1.470655121140558,0.5789473684210527,7.642727272727272,-7.145624999999999,5,0.6292123310630919,57.88
direction,SELL,2026-07,66,31,35,-45.09,-0.6831818181818178,0.8347443650357341,0.4696969696969697,7.34709677419355,-7.795714285714283,5,1.3884079085115475,-93.09
direction,SELL,2026-08,40,19,21,-2.09,-0.052249999999999706,0.9846119864526579,0.475,7.038421052631579,-6.467619047619047,5,0.9701330062938109,-46.51
month,2026-06,ALL,116,57,59,49.32,0.4251724137931039,1.1135960568440935,0.49137931034482757,8.482280701754386,-7.358813559322032,6,1.241646002252137,-45.36
month,2026-06,BUY,40,13,27,-58.3,-1.4574999999999998,0.7163155077611796,0.325,11.323846153846151,-7.611481481481481,10,1.5020000000000073,-150.3
month,2026-06,SELL,76,44,32,107.62,1.4160526315789477,1.470655121140558,0.5789473684210527,7.642727272727272,-7.145624999999999,5,0.6292123310630919,57.88
month,2026-06,2026-06,116,57,59,49.32,0.4251724137931039,1.1135960568440935,0.49137931034482757,8.482280701754386,-7.358813559322032,6,1.241646002252137,-45.36
month,2026-06,2026-07,0,0,0,0.0,,,,,,0,0.0,0.0
month,2026-06,2026-08,0,0,0,0.0,,,,,,0,0.0,0.0
month,2026-07,ALL,134,64,70,-80.28,-0.5991044776119402,0.859525101051637,0.47761194029850745,7.67515625,-8.164142857142856,8,2.594836591553514,-131.09
month,2026-07,BUY,68,33,35,-35.19,-0.5174999999999997,0.8821658183766408,0.4852941176470588,7.983333333333333,-8.532571428571426,6,1.7058916128158548,-85.9
month,2026-07,SELL,66,31,35,-45.09,-0.6831818181818178,0.8347443650357341,0.4696969696969697,7.34709677419355,-7.795714285714283,5,1.3884079085115475,-93.09
month,2026-07,2026-06,0,0,0,0.0,,,,,,0,0.0,0.0
month,2026-07,2026-07,134,64,70,-80.28,-0.5991044776119402,0.859525101051637,0.47761194029850745,7.67515625,-8.164142857142856,8,2.594836591553514,-131.09
month,2026-07,2026-08,0,0,0,0.0,,,,,,0,0.0,0.0
month,2026-08,ALL,114,64,50,111.21,0.9755263157894741,1.3177610149151382,0.5614035087719298,7.206093750000001,-6.999599999999999,5,0.9058170029941153,62.78
month,2026-08,BUY,74,45,29,113.3,1.5310810810810815,1.5290437056406427,0.6081081081081081,7.27688888888889,-7.384827586206897,4,0.6771351317752294,64.87
month,2026-08,SELL,40,19,21,-2.09,-0.052249999999999706,0.9846119864526579,0.475,7.038421052631579,-6.467619047619047,5,0.9701330062938109,-46.51
month,2026-08,2026-06,0,0,0,0.0,,,,,,0,0.0,0.0
month,2026-08,2026-07,0,0,0,0.0,,,,,,0,0.0,0.0
month,2026-08,2026-08,114,64,50,111.21,0.9755263157894741,1.3177610149151382,0.5614035087719298,7.206093750000001,-6.999599999999999,5,0.9058170029941153,62.78
session,london,ALL,97,56,41,90.55,0.9335051546391757,1.2995071610491846,0.5773195876288659,7.015714285714286,-7.3739024390243895,10,1.7818778478173394,42.94
session,london,BUY,45,22,23,-30.85,-0.6855555555555551,0.8261188141134033,0.4888888888888889,6.662272727272727,-7.71391304347826,4,0.8158002578736319,-73.15
session,london,SELL,52,34,18,121.4,2.334615384615385,1.9718997678328398,0.6538461538461539,7.244411764705882,-6.939444444444444,9,1.2932110351387704,74.04
session,london,2026-06,30,20,10,73.41,2.447,1.9500452957163197,0.6666666666666666,7.534000000000002,-7.727000000000001,2,0.34390222788833746,26.85
session,london,2026-07,34,17,17,-8.52,-0.2505882352941173,0.9323326185370503,0.5,6.90529411764706,-7.406470588235294,10,1.7744602333996242,-52.45
