scenario,scope,n,wins,losses,net,expectancy,pf,win_rate,average_winner,average_loser,max_losing_streak,realized_balance_dd_pct,net_ex_top5
reference,ALL,364,185,179,80.25,0.22046703296703335,1.0591971319819422,0.5082417582417582,7.761567567567567,-7.57340782122905,8,2.854147824562088,-15.88
reference,BUY,182,91,91,19.81,0.10884615384615401,1.0275786220434076,0.5,8.11120879120879,-7.893516483516482,10,2.7136741475487143,-75.94
reference,SELL,182,94,88,60.44,0.33208791208791233,1.0948331319724476,0.5164835164835165,7.423085106382981,-7.242386363636364,5,2.1743620520335223,10.65
reference,2026-06,116,57,59,49.32,0.4251724137931039,1.1135960568440935,0.49137931034482757,8.482280701754386,-7.358813559322032,6,1.241646002252137,-45.36
reference,2026-07,134,64,70,-80.28,-0.5991044776119402,0.859525101051637,0.47761194029850745,7.67515625,-8.164142857142856,8,2.594836591553514,-131.09
reference,2026-08,114,64,50,111.21,0.9755263157894741,1.3177610149151382,0.5614035087719298,7.206093750000001,-6.999599999999999,5,0.9058170029941153,62.78
commission_plus_25pct,ALL,364,185,179,73.11,0.20085164835164862,1.0537933470189613,0.5082417582417582,7.741621621621622,-7.592681564245811,8,2.9148222946992863,-22.9
commission_plus_25pct,BUY,182,91,91,16.23,0.08914835164835185,1.022533157419624,0.5,8.090934065934066,-7.912637362637362,10,2.7360567490264525,-79.4
commission_plus_25pct,SELL,182,94,88,56.89,0.3125549450549457,1.0890163370055084,0.5164835164835165,7.4034574468085115,-7.261818181818182,5,2.2094838625426534,7.2
commission_plus_25pct,2026-06,116,57,59,47.27,0.40745689655172446,1.1086002481503607,0.49137931034482757,8.464649122807018,-7.376610169491526,6,1.251499999999978,-47.31
commission_plus_25pct,2026-07,134,64,70,-83.19,-0.6208208955223878,0.8548066182630552,0.47761194029850745,7.652656250000001,-8.185142857142855,8,2.6187917860554077,-133.85
commission_plus_25pct,2026-08,114,64,50,109.04,0.956447368421053,1.3107206976147734,0.5614035087719298,7.186640625000001,-7.0182,5,0.9106134706477307,60.74
commission_plus_50pct,ALL,364,185,179,65.97,0.18123626373626398,1.0484169272094765,0.5082417582417582,7.721675675675677,-7.611955307262568,8,2.9755495339857703,-29.92
commission_plus_50pct,BUY,182,91,91,12.64,0.06945054945054946,1.01751201873121,0.5,8.07065934065934,-7.931758241758242,10,2.7584431034930637,-82.87
commission_plus_50pct,SELL,182,94,88,53.33,0.2930219780219784,1.083230589153336,0.5164835164835165,7.38382978723404,-7.28125,5,2.2446258047157666,3.75
commission_plus_50pct,2026-06,116,57,59,45.21,0.389741379310345,1.1036284869461572,0.49137931034482757,8.447017543859648,-7.394406779661018,6,1.2620000000000253,-49.26
commission_plus_50pct,2026-07,134,64,70,-86.1,-0.6425373134328358,0.8501122852218722,0.47761194029850745,7.630156250000001,-8.206142857142856,8,2.642748410590123,-136.61
commission_plus_50pct,2026-08,114,64,50,106.86,0.9373684210526317,1.303717598908595,0.5614035087719298,7.1671875,-7.0368,5,0.9154099670428246,58.7
plus_1_point_each_fill,ALL,364,185,179,70.73,0.1943131868131875,1.051998176792331,0.5082417582417582,7.734972972972974,-7.599106145251396,8,2.9350588411572986,-25.24
plus_1_point_each_fill,BUY,182,91,91,15.03,0.08258241758241829,1.0208567503434498,0.5,8.084175824175825,-7.919010989010989,10,2.743518450136588,-80.56
plus_1_point_each_fill,SELL,182,94,88,55.7,0.3060439560439567,1.0870843170056756,0.5164835164835165,7.396914893617021,-7.268295454545453,5,2.22119560556079,6.05
plus_1_point_each_fill,2026-06,116,57,59,46.58,0.4015517241379317,1.1069403310604498,0.49137931034482757,8.458771929824563,-7.382542372881355,6,1.2550000000000001,-47.96
plus_1_point_each_fill,2026-07,134,64,70,-84.16,-0.6280597014925365,0.8532391664486879,0.47761194029850745,7.645156250000001,-8.192142857142855,8,2.626777168668002,-134.77
plus_1_point_each_fill,2026-08,114,64,50,108.31,0.9500877192982461,1.3083822105802634,0.5614035087719298,7.180156250000001,-7.024400000000001,5,0.9122122995859405,60.06
plus_2_points_each_fill,ALL,364,185,179,61.21,0.1681593406593411,1.0448477477213447,0.5082417582417582,7.708378378378379,-7.624804469273741,8,3.0160637103758803,-34.6
plus_2_points_each_fill,BUY,182,91,91,10.25,0.056318681318681944,1.0141780206100008,0.5,8.057142857142857,-7.944505494505495,10,2.7733694252639767,-85.18
plus_2_points_each_fill,SELL,182,94,88,50.96,0.28000000000000025,1.079390549782673,0.5164835164835165,7.370744680851063,-7.294204545454544,5,2.2680649589717006,1.45
plus_2_points_each_fill,2026-06,116,57,59,43.84,0.37793103448275894,1.1003272535872028,0.49137931034482757,8.435263157894736,-7.406271186440678,6,1.2689999999999964,-50.56
plus_2_points_each_fill,2026-07,134,64,70,-88.04,-0.6570149253731339,0.846996054986879,0.47761194029850745,7.61515625,-8.220142857142857,8,2.658720288139182,-138.45
plus_2_points_each_fill,2026-08,114,64,50,105.41,0.9246491228070179,1.2990693979458663,0.5614035087719298,7.15421875,-7.0492,5,0.9186076472738524,57.33
commission_25pct_plus_1_point_each_fill,ALL,364,185,179,63.59,0.17469780219780306,1.0466308325205878,0.5082417582417582,7.715027027027028,-7.618379888268155,8,2.9958036854589,-32.26
commission_25pct_plus_1_point_each_fill,BUY,182,91,91,11.45,0.06288461538461605,1.0158436812159977,0.5,8.0639010989011,-7.938131868131867,10,2.765906055809171,-84.02
commission_25pct_plus_1_point_each_fill,SELL,182,94,88,52.15,0.28651098901098987,1.0813088629701242,0.5164835164835165,7.377287234042553,-7.287727272727272,5,2.2563442621353023,2.6
commission_25pct_plus_1_point_each_fill,2026-06,116,57,59,44.53,0.3838362068965525,1.1019765471119054,0.49137931034482757,8.441140350877193,-7.400338983050847,6,1.2654999999999927,-49.91
commission_25pct_plus_1_point_each_fill,2026-07,134,64,70,-87.07,-0.6497761194029842,0.848552842134558,0.47761194029850745,7.62265625,-8.213142857142856,8,2.6507342699088814,-137.53
commission_25pct_plus_1_point_each_fill,2026-08,114,64,50,106.14,0.9310087719298252,1.3013914525060346,0.5614035087719298,7.160703125000001,-7.042999999999998,5,0.9170088055615725,58.02
